"Sentence","labels"
"Comparison of recovered and unrecovered AKI showed that characteristics such as hypertension , severe anemia , edema , volume overload , requirement of mechanical ventilation , initiation of dialysis and need of > 5 sessions of dialysis had statistically significant association with nonrecovery .",1
"Lower-limb skin temperature was altered following hot-stone stimulation applied to the abdomen , and the one-site stimulation and three-site stimulation yielded different distal foot skin-temperature reactions .",1
"The findings indicated that WBV was not effective in the recovery of lower-extremity fatigue in healthy young men .",1
"Primers were designed in regions that were 100 % conserved among species with available genomic data : EIF3F1 and EIF3R1 amplified a 137-bp product .",0
"The small improvement associated with bitopertin together with the varying placebo response suggests that adjunctive bitopertin treatment might offer only modest benefit to suboptimal responders to antipsychotics , if any .",1
"Presence of flavonoids , steroids , terpenoids , and phenolic acids has been suggested by several authors to be responsible for antidiabetic activity .",1
"Afterward , echocardiographic assessments were performed , and rats were killed to collect hearts for morphometry and oxidative stress .",0
"In contrast to RGCs , here we show that in DRGs , the deletion of either mTOR or Raptor inhibits the CL-enhanced expression of p-Stat3 .",1
"Central review of endoscopic images is critical to the conduct of induction studies in UC ClinicalTrials.gov Number , NCT01059344 .",0
"Moreover , anti-CD154 treatment when nephritis has already developed still slows disease progression , reverses proteinuria , and induces remissions in mice , despite ongoing renal immune complex deposition .",1
"Additional studies are needed to evaluate the effect of larger doses or different injection methods .",0
"New compounds are needed to treat acne and superficial infections caused by Propionibacterium acnes and Staphylococcus aureus due to the reduced effectiveness of agents used at present .",1
"The adult cotton-top tamarins , for example , live in small family groups , but can produce up to 38 different types of calls .",0
"The present study found that LS was related to AST and ALT levels or APRI , which significantly correlates with stage of fibrosis and with a higher correlation coefficient than platelet count or AST levels alone in patients with chronic hepatitis C infection .",1
"Specific inclusion criteria were : children with a known and suspected diagnosis of a complex chronic condition that is associated with medical fragility , technology assistance or the need for as high an intensity of care as a technology assisted child , and , involvement of multiple specialists , such as gastroenterologists , neurologists , etc. , including at least one at SickKids .",0
"MCS was lower in SLE compared with RA and NIRD .",0
"Copyright © 2016 John Wiley and Sons , Ltd. .",0
"Co-stimulatory antibodies anti-CD28 and anti-CD49d have been shown to increase the sensitivity of the IFN-α intracellular staining assay .",1
"Exercise for depression : A randomized controlled trial .",0
"THVD-102 was generally well-tolerated .",0
"Preventing xylose , which lacks only a single hydroxymethyl group relative to glucose , from binding to the CBP active site poses a spatial challenge for protein engineering , since simple steric occlusion can not be used to block xylose binding without also preventing glucose binding .",0
"Sanger sequencing of MERTK was completed on the patient 's unaffected mother , affected brother , and unaffected sister to determine genetic phase .",0
"TGF-β treatment resulted in increased SOX4 expression by over two-fold in the microarray datasets previously analyzed .",1
"Maternal body weight and height , baby weight , length , head circumference , skin folds at three sites .",0
"Respiratory epithelial cell death by influenza virus infection is responsible for the induction of inflammatory responses , but the exact cell death mechanism is not understood .",1
"This family of methodologies has led to the discovery that the eukaryotic nucleus is a highly ordered compartment , with chromosomes falling into distinct territories .",1
"In SLE , quality of life was predicted by damage , comorbidity , income , education , and age .",0
"Although , these results suggest that both genotypes could play a role in HCV infection , the clinical significance of this finding needs more investigation .",1
"Inclusion of venation characters would have considerably increased the amount of uncertain homologies , thus more likely decreasing rather than increasing the reliability of our morphological data .",1
"For example , it would be interesting to test the hypothesis that sleep deprivation increases the depth in addition to the duration of sleep rebound in zebrafish .",1
"Recently , in vivo recordings have demonstrated that GABA generally depolarizes but inhibits postsynaptic neurons in developing mice .",1
"Biodentine showed similar clinical and radiographic results as MTA in the 12-month evaluation and can be safely used as a pulpotomy medicament .",0
"Exposures to alcohol marketing through seeing actors drinking alcohol on TV , alcohol brand advertising during sports on TV , on billboards , possessing items with an alcohol brand logo and being offered alcohol from an alcohol company representative were associated with increased reports of current alcohol use .",1
"Consequently , CI-AKI particularly in high risk patients contributes to extended hospitalizations and increases long-term morbidity and mortality .",1
"In the HVL group , IL8 showed a significant correlation with CD4 count and nadir CD4 count , whereas , IL6 correlated with nadir CD4 count only .",1
"Among adolescents and adults with predominantly moderate-to-severe asthma , treatment with budesonide-formoterol was associated with a lower risk of asthma exacerbations than budesonide and a similar risk of serious asthma-related events .",1
"Remote ischemic preconditioning significantly reduced the 3-month incidence of a composite endpoint major adverse kidney events consisting of mortality , need for renal replacement therapy , and persistent renal dysfunction in high-risk patients undergoing cardiac surgery .",1
"It was suggested that in patients with diabetes and hypertension , endothelial dysfunction and the restricted capability of the endothelial cell to secrete NO might cause a disturbed microvascular blood flow .",1
"The results indicate that the LO occlusal scheme with hard resin artificial teeth is more efficient for patients with severely resorbed mandibular ridges .",0
"We retrospectively searched our RPN database for pathologically confirmed renal AML patients between 2006 and 2014 .",0
"CGJ consumption improved inflammatory and fibrinolytic status in healthy smokers and attenuated acute smoking induced increase in ICAM-1 and PAI-1 levels .",1
"These results are a step toward a better understanding of the association between physical fitness and exercise-induced hypoglycaemia .",0
"The use of self-retaining bicanaliculus stents seems to improve anatomical , functional , and subjective scores when combined with standard 3-snip punctoplasty in patients with acquired upper lacrimal duct stenosis .",1
"Post hoc comparisons indicated treatment effect differences at 24 weeks , with the control group showing significant decline in the combined primary outcome measure relative to the investigational group .",0
"The study incorporated pathological review of all available diagnostic material and follow-up assessed survival at a minimum of 5 years from diagnosis .",0
"Acidosis was better controlled with CVVH .",0
"It was seen from day 12 onwards of evaluating wounds with haemolymph from both species that some epithelial cells were possibly migrating towards wounds in an attempt to repair the basal lamina , together with fibroblasts producing type IV collagen , keratinocytes , and plasmid cells , nevertheless , the negative control showed the set of cells from the inflammatory phase .",1
"Many patients with sciatica appreciate the value of physiotherapy prior to surgery .",0
"A randomized phase III confirmatory study in mCRC is underway .",0
"S-neurons were never immunoreactive for the CaBPs , but most AH-neurons were immunoreactive .",0
"We will examine the feasibility of the cmRCT design in exercise-oncology research and compare this with conventional RCTs .",0
"Exclusion of women with longer interbirth intervals might have induced a degree selection bias , for example , if PM2 .5 sources contributed to subfertility , and subsequently longer interbirth intervals and fertility treatment -- associated preterm birth .",1
"We also procured > 4000 daily samples of PM2 .5 from the Connecticut Department of Energy and Environmental Protection for six cities in Connecticut , which significantly improved both the temporal resolution as well as the geographic relevance of the identified sources of exposure .",1
"For example , both insect hemocytes and mammalian neutrophils engulf and kill pathogens , and both types of cell produce superoxide , using similar p47 and p67 proteins .",0
"Preemptive gabapentin was associated with greater postoperative pain scores and analgesic consumption following adult tonsillectomy when compared with placebo .",1
"TNF-α activated similar gene expression responses in both EC culture from coronary artery and HSV .",0
"Although upstream components of the TOR signaling pathway , such as daf-15 and RAPTOR , rict-1 and RICTOR , and let-363 and TOR , also have increased fat stores , we did not identify the alteration in the membrane omega-3 : omega-6 ratios in rict-1 mutants , although we detected similar fatty acid composition changes in ribosomal protein RNAi knockdown worms .",0
"These results show that mating designs such as MC and MCAC can generate higher μG when BLUP evaluation uses sib information compared to candidate information .",1
"Interestingly , our phylogenetic group analysis demonstrated that most of CTX-M-15 positive isolates did not fall under B2 group , and according to the MLST typing system , epidemic ST131 clone , most globally ST associated with CTX-M-15 , was not identified , indicating that this clone is less represented in fecal ESBL-producing coli , which is in agreement with other recent studies from Tunisia and Spain .",1
"We also observe that increasing antenatal HIV sero-prevalence significantly increases the risk of local municipality level mortality .",1
"These data support the utility and validity of the PFA method for determining the UVA protection provided by sunscreen products .",0
"Univariate analysis indicated that BMI , alcohol consumption , LF test results and fatty liver status were associated with LS .",1
"More than 70 % of deaths in diabetic patients are due to vascular disease .",1
"We describe a previously unrecognized mechanism for ESM cell contraction that depends on TGF-β1 , its receptors , and PLN .",0
"The aim of this trial is to further enhance the effectiveness of DBS treatment in PD while reducing the burden of DBS surgery by studying if DBS surgery under general anesthesia results in less cognitive , mood , and behavioral adverse effects compared with surgery under local anesthesia .",0
"Notch1 is a heterodimeric , type I transmembrane receptor that is required for cell fate decisions throughout the metazoa .",1
"If irradiated peripubertally , annual change in SDS to final height was 0.22 SD 0.23 , not significantly different from the change over puberty in the prepubertal group .",0
"It has been demonstrated that PGE2 directly promotes surface expression of NaV 1.8 in a dose-dependent manner , and this effect can be blocked by cellular trafficking inhibitors .",1
"Our results failed to show any difference in DQ at 24 month PMA between preterm neonates treated or not treated with rEpo given at doses commonly administered for preventing the anaemia of prematurity , whereas we found a significant lower DQ in neonates affected by minor IVH or BPD and in neonates who required blood transfusions .",0
"Then , the effects of alanine and proline with or without the NHE inhibitor 5 - amiloride were evaluated .",0
"Across genes , the correlation of predicted and observed mRNA expression in leave-one-out cross-validation correlated with the strength of spatial dependence .",1
"The efficacy and safety of tocilizumab should be investigated in a phase 3 trial before definitive conclusions can be made about its risks and benefits .",0
"Most of these cells showed a lymphocyte-like morphology , that is , round or slightly ovoid cells with a large , round and centrally located nucleus , thus resulting in a high nucleus : cytoplasm ratio .",1
"Considering the results of the study , in most of the primary cases , two septocolumellar sutures in conjunction with basic tip maneuvers are sufficient for positioning and stabilizing of the nasal tip , and a short and floating columellar strut graft does not have any affect in maintenance of the desired nasal tip rotation and projection .",1
"Among 150 patients with HIV RNA PCR results , 15 had undetectable HIV RNA .",0
"In addition , by defining cellular effectors of Pf PKG we have gained insight into cGMP and Pf PKG phospho-signalling pathways and feed-back loops , and particularly the relationship between Pf PKG signalling and calcium signalling in malaria parasites .",1
"The majority of those who experienced the Lifestyle Matters intervention reported minor benefits and increases in self-efficacy , but they did not perceive that it significantly improved their health and well-being .",1
"Variables possibly influencing drug effectiveness may be disease - , patient - or treatment-related , clinical or biological .",0
"The RSS is able to discriminate subjective responses between combinations and time-of-day .",0
"Health experiences and functional impact of PSS is similar among US and European patients .",0
"These processes are triggered by different extracellular stimuli leading to activation of protein phosphorylation .",1
"CD3 T cells , cooperating with the inflammatory cytokines excreted by T cells , induce synovial inflammation , further leading to the destruction of articular cartilage .",1
"Cognitive domains characteristically impaired in DLB are particularly improved by donepezil .",1
"Applying this method to diverse environmental datasets , we could establish a relationship between genome size and environment , suggesting a clear correlation between environmental complexity and the diversity of the cellular repertoire that is required to cope with various external challenges .",0
"In children without ACS , transfusion was associated with lowest Hb concentration , particularly Hb concentration of less than 6.3 g and dL .",1
"In the light of these results , use of the device by the general public can be envisaged .",0
"The meeting resulted in a move toward overall agreement on advertising restrictions based on the code applicable to television .",1
"Idiopathic intestinal motility disorder , unassociated with abdominal vagal dysfunction , is more likely to respond to cisapride .",0
"Multivariable logistic regression analyses were used to investigate associations of competition volume , club sport participation , and sport specialization with history of LEI , adjusting for sex .",0
"The absence of a long-term effect might reflect floor effects in the MCT group , but may also indicate the need for further measures to promote sustainability of MCT effects .",1
"The bone-metastases subgroup deliberated the clinical context , the scientific merits and the required methodology of research questions related to the role of radiotherapy in early treatment of bone metastases , the role of re-irradiation , the role of systemic radiotherapy and patient selection for different fractionation schedules .",0
"A deviation from Hardy-Weinberg equilibrium was found for both SNPs in Polish patients with CD , and for 2677G > A and T in Polish control group .",0
"These effects might be attributed to the reduction of lipases expression and increased food intake .",1
"We seek to determine rates of rib fracture observed on chest CT only , admission and mortality of patients with isolated rib fractures , rib fractures observed on CT only , and first or second rib fractures , and first or second rib fracture-associated great vessel injury .",0
"We created a real-time training module , which can provide a standardized step by step guidance to robotic distal subtotal gastrectomy with D2 lymphadenectomy procedures , ARMES .",0
"Interestingly , the single-master HMMs are able to make 20 assignments not made by the combined models at an EPQ of 0.05 , reducing the net improvement to only 15 additional assignments .",0
"Of the six LCoGS indicator targets , Madagascar meets one , the reporting of perioperative mortality rate .",0
"Six meals had a more favourable effect on post-OGTT insulin sensitivity in women with PCOS compared with isocaloric three meals .",0
"The fixed combination of bimatoprost 0.03 % and timolol 0.5 % administered once daily was comparable in ocular hypotensive efficacy to the non-fixed combination .",0
"Maternal bedtime cortisone : cortisol ratio was significantly and inversely related to offspring birth weight .",1
"Subsequently , Moruzzi , Magoun , and others found that sleep or arousal could be induced by lesion or electrical activation along a subcortical pathway ascending from the brainstem .",1
"TRıAL REGISTRY NUMBER : Clinicaltrials.gov .",0
"Research leading to the isolation of the plant cannabinoids during the 1960 s and to the endogenous cannabinoids , during the 1990 s is described .",0
"Staphylococcus aureus is the leading cause of nosocomial infections , and methicillin-resistant aureus infections result in significant morbidity , mortality , and longer hospital stays if not treated early with effective antibiotics .",1
"However , secondary analyses reveal that among those who pursue kundalini yoga or strength training at least two times a week , a significantly reduction in sickness absenteeism was found .",1
"Synthetic cartilage implant hemiarthroplasty was appropriate for patients with grade 2 , 3 , or 4 hallux rigidus .",0
"Radix Astragali could reduce cell accumulation , relieve the swelling and arthritic index of joints , and down-regulate the serum concentrations of TNFα and IL-1α in adjuvant-induced arthritis .",1
"Finally , the results illustrated the potential mortality benefit in deaths at a population level and at local municipality level , as a result of improved provision of a composite basket of services .",1
"Atherosclerosis , one of the most important vascular diseases worldwide , is a complex and progressive disease characterized by accumulation of lipids and fibrous elements in large arteries .",0
"Such events would have included the underlying disease , even though being eventually limited regarding its physiopathological manifestations compared to humans , and the persistent infection induced by the bacteria .",1
"Confidence intervals were determined by an exact binomial test .",0
"The elevated levels of TGF-beta 1 in subjects with type 2 diabetes possibly indicate a tendency for renal and endothelial damage in such patients .",1
"Successful communication sequences are the ones , which resulted in positive change talk or commitment language statements by an adolescent or a caregiver , while unsuccessful sequences are the ones , which resulted in negative change talk or commitment language , or the ones , in which no change talk or commitment language statements were made .",1
"Histologic confirmation of precancer among young women with HSIL cytology was more likely when other risk factors for cervical precancer were present .",0
"APOE-ɛ4 and BCHE-K positive subjects display an earlier age of onset of AD , an accelerated cognitive decline and a greater cognitive benefits to donepezil therapy .",0
"This could affect clinical decision making and radiotherapy treatment planning .",1
"Fibrinogen is a major coagulation protein that plays a key role in blood viscosity and platelet aggregation , and in a meta-analysis of prospective observational studies a moderately strong association has been found between fibrinogen levels and the risk of CVD .",1
"Compared to patient information sheets , ECAs provide promise as a way to teach healthy lifestyle behaviors to diverse urban women .",0
"These studies set the stage for continued generation of PTM and PTN analogues in an effort to improve their pharmacokinetics while retaining or improving their biological activities .",0
"The high in-migration rates in the more remote districts have been difficult to interpret , but are currently known to be driven by large-scale development projects and forest exploitation economies .",1
"On the other hand , there are some studies that identified an association of ACPA with decreased likelihood of achieving remission at two or eight years in recent onset RA .",1
"Ethnicity may play a role in predicting response to DMARDs .",1
"The data indicate bioavailability of early and late phase WBB metabolites peaking at different times during the 24 h period , which may be important for maximizing their biological activity .",0
"The present study was carried out to clarify the role of noradrenergic systems in the mediation of drinking response to angiotensin II in the rat subfornical organ .",0
"Short-term data on differential efficacy and long-term maintenance data suggest a possibly greater efficacy of clozapine , relative to other antipsychotics , in COS than in AOS .",0
"The advantages of 2D cultures are associated with simple and low-cost maintenance of the cell culture and with the performance of functional tests .",1
"Simple electronic or paper reminders have produced only small increases in vaccination rates .",1
"Our findings also indicate that bioinformatics tools such as the STRING protein network database can help predict potential interactions between proteins and thus serve as a guide for future steps in our exploration of the Human Interactome .",0
"These data suggest that diabetes autoimmunity as reflected by GAD antibodies and insulinoma-associated-2 autoantibodies , in middle-aged individuals at risk for diabetes is not a clinically relevant risk factor for progression to diabetes .",0
"However , it did not reduce the infarct size when assessed by MRI and cardiac enzyme .",1
"Administration of 0.5gkg-1 mannitol provides adequate brain relaxation without causing systemic side effects in patients undergoing supratentorial tumor surgery .",1
"In this context new 25-disubstituted tetrazole derivatives containing benzothiazole , benzoxazole or phenylsulfonyl moiety were synthesized by N-alkylation of aryltetrazole with 2 - -13 - benzothiazole or 2 - -13 - benzoxazole and Michael-type addition of aryltetrazole to phenyl vinyl sulfone .",0
"Findings are relevant for policies to protect and promote public access to natural environments .",0
"These results show that salmeterol improves the symptoms and airway function of patients with asthma , but has no effect on eosinophilic airway infiltration .",1
"It can be concluded that in clinically monitored parameters both treatment modalities were equally effective without any statistical or clinical significance in the observed groups of patients .",0
"Endorsement and implementation of reporting guidelines , such as the PRISMA extension statement for NMAs , by the scientific community and journals may improve the completeness of reporting in the future .",1
"Broader policy interventions aimed at changing decisions of school principals or food service managers had little impact , with one broader community intervention that increased FV affordability and FV offerings in restaurants but decreased consumption among high school students .",1
"In swimming pools , anthropogenic organic loads brought by swimmers increase the complexity of pool water chemistry .",1
"To examine this hypothesis , we tested a Salmonella strain with a chromosomal pbgP-lac fusion , deleted for the chromosomal copy of the pmrB gene and harbouring a plasmid expressing a PmrB protein lacking its periplasmic domain for its ability to promote pbgP expression in response to different signals .",0
"Although the small sample requires confirmatory studies , these findings provide preliminary evidence that ghrelin may play a role in the neurobiology of alcohol craving , thus demonstrating a novel pharmacologic target for treatment .",1
"Moreover , we know of no interventions designed to increase OSA knowledge and health literacy among blacks .",0
"Taking together , these results suggest that BMCC1 induced by E2F1 acts as a tumor suppressor through its pro-apoptotic function , resulted in favorable prognosis of NB .",1
"These factors should be considered when designing interventions for improving physical function in older adults with limited mobility .",0
"Future studies should validate the role of GlycA and LP-IR to evaluate the effects of interventions to modify obesity and fitness to improve systemic inflammation and insulin resistance .",0
"The divide and conquer technique led to less endothelial loss and hexagonal cell change than the chip and flip technique , although at 3 months the differences were not significant .",1
"It may be that home intervention changed social support and interaction in important ways and that these effects could be effectively harnessed to implement more effective interventions .",1
"PRT-201 was well tolerated and increased AVG intraoperative outflow vein diameter and blood flow .",1
"Pichlmair et al. also suggested that higher-order RNA structures of dsRNA and ssRNA contributed to the induction of MDA5-mediated IFN activation .",1
"In fact , the application of this methodology in radiogenomic studies is limited due to the lack of standard references for analysis , it is expensive in terms of cost and time , and Big Data are produced , which require a dedicate storage platform .",0
"The study showed that theophylline significantly reduced the risk of CI-AKI .",1
"This randomized controlled trial will be the first to directly evaluate the effect of rewarding feedback , including monetary rewards , on the recovery process of the upper limb following stroke .",0
"Histological analysis revealed that treatment led to tissue proliferation and more effective neovascularisation in less time with both species fat body extracts compared to treatment with just haemolymph .",1
"It has long been postulated that rapidly growing cells are at increased risk of genotoxic damage , this idea is based on the hierarchy of tissues affected by ionizing radiation exposure , the response of tumors to genotoxic chemotherapy , and has been put forward as a way to rationalize hormonal carcinogenesis with the somatic mutational basis of cancer .",1
"Circulating levels of sCD154 in patients with SLE correlate with the titers of anti- double-stranded DNA autoantibodies and with disease activity .",1
"The results showed that dynamic adsorption of polyphenols could be optimised in a juice concentration of 19 degrees Brix , with a feed flow-rate of 1.3 mL min-1 and a feed volume of 7 bed volume .",1
"However , prognoses in those with treatment-resistant hypertension were similar across treatment groups .",0
"Granisetron is more effective than droperidol or metoclopramide for the treatment of established postoperative nausea and vomiting during the first 3 hours after anesthesia in patients undergoing major gynecologic operations .",1
"figure 2A shows a simplified metabolic network based on accepted biochemical knowledge that connects several lipids affecting actin polymerization on phagosomal membranes .",0
"It is feasible and acceptable for an occupational therapist to deliver HS and HE falls prevention programmes to people with SI living independently in the community .",0
"The aim is to review alteplase use as a marker for peripherally inserted central catheter occlusions , which may increase risk of CLABSIs .",1
"The usual care consent process is effective for many but not all patients .",0
"The high levels of VEGF-C expression , especially at the invasive edge of cervical cancers , may contribute to the high density of lymphatic vessels in peritumoral regions through lymphangiogenesis , which causes increased tumor aggression .",1
"This underlines the importance of taking a wider view of an older person 's health rather than focusing on a single impairment or disability .",0
"Classification of the Netherlands AML series using each predicted list identified a cluster of patients with distinct GEP that was associated with high WT1 expression levels .",0
"In addition to being examined for their preventative potential , both NSAIDs and more potent anti-inflammatory antibody-based drugs need to be tested for their ability to augment the efficacy of more conventional therapeutic approaches on the basis of tumor resection , radiation , and cytotoxic chemicals .",0
"cDNA was amplified by qPCR using JumpStart SYBR Green supermix and the Light Cycler 96 Roche Real-Time System .",0
"Therefore , PKV may be another pathogen that causes diarrhea in pigs .",1
"The combination therapy may be an alternative option for persistent symptoms in these patients .",0
"Linezolid is effective at achieving culture conversion among patients with treatment-refractory XDR pulmonary tuberculosis , but patients must be monitored carefully for adverse events .",1
"The complexity is increased further by alternative splicing of VEGF-A , VEGF-B and PlGF , and proteolytic processing of VEGF-C and VEGF-D .",1
"Tweet2Quit was engaging and doubled sustained abstinence .",0
"The algorithm produced a weighted classifier , using 18 micro-RNAs , and achieved 100 % accuracy on the training cohort .",0
"The number of cancer survivors in Australia is increasing due to population ageing , growing incidence of some cancers and improvements in early detection and treatment .",1
"A prophylactic PEG tube can be used without an increased risk of long-term dysphagia in patients with head and neck cancer .",1
"Our findings demonstrate the existence of homogeneous psychological profiles displaying unique sets of clinical and somatosensory characteristics .",0
"As Mexico and other countries emerge as developed economies , industrialization is likely to result in broader and greater exposures to industrial chemicals .",1
"Aprepitant was safe and well tolerated .",0
"Our sample was higher functioning , younger and experiencing lower levels of psychotic like experiences than other trials .",0
"First , microarray gene expression data has an inherent complexity due to its high dimensionality and hidden correlations driven by co-expression of genes in biological networks and other factors .",1
"This study adds support for the use of brief online self-complete interventions to reduce cannabis use and related problems in the short term .",1
"Dosage of up to 150 mCi was not revealed to affect either uptake or secretion functions , and was likely to be a safe and potentially effective dosage that can be applied without damage to the salivary glands .",1
"Lasting and personalized cognitive training is particularly indicated to generate the type of learning necessary for combined cognitive and sleep enhancements in this population .",0
"Ridker et al also found that hsCRP was a strong predictor of CVD events in women participating in the Women 's Health Study and that hsCRP may be a stronger predictor of CVD events than LDL-C levels .",1
"ClinicalTrials.gov identifier : NCT01311336 .",0
"Atrial natriuretic peptide is a potent endogenous natriuretic compound produced by cardiac myocytes in right atrium .",0
"The novel HA filler IDHF-001 shows suitable characteristics and tolerability , widening the selection possibilities for clinicians and patients in the treatment of NLFs .",0
"The link between purinergic signaling and IL-1α release has been well established in microglia , and here it was corroborated in EOC20 cells using IL-1ra , which prevented IL-1α release and establishment of dye coupling upon treatment with TNF-α plus ATP or TNF-α and IFN-α .",1
"Intraduodenal glucose , fat , and protein decrease systolic BP in healthy older subjects , but the onset of the hypotensive response is earlier after glucose , and the effect of protein on SMA blood flow is less than that of the other nutrients .",1
"Macrophage function is decreased by excessive erythrophagocytosis , as well as by phagocytosis of falciparum - infected erythrocytes .",1
"The results need replication in large samples .",0
"In DIO mice , a 20-day study of daily subcutaneous injections of as little as 3 nmol and kg of the triple agonist resulted in a 26.6 % body weight reduction , which was primarily the result of a loss of fat mass .",1
"The frequency of detecting these mutations increases with age , being very rare in people < 40 years old , but present in about 10 % of people aged 70 to 79 years , and reaching 18 % in people > 90 years old .",1
"Here , trait distances were obtained by computing Euclidean distances on the standardized size-corrected residuals , and the best-fitting multivariate trait distance model was determined by a stepwise forward procedure .",0
"Advanced users can create third-party software which can read or write to BioCyc databases using customized queries .",0
"Upon its engagement , CD40 induces a pattern of gene expression depending on the particular cell type involved .",1
"Sudan Black B was used to quench the autofluorescence generated by lipofuscin pigments .",0
"Other downstream signaling of mTORC1 may also contribute to the growth-promoting effect and needs further investigation .",1
"Infection of the spinal cord is characterised by multifocal regions of virally infected vascular endothelium , associated with vasculitis , thrombosis and haemorrhage that result in ischaemia and organ dysfunction .",1
"This conclusion is supported by the recent observation that urinary perchlorate levels that are commonplace in the general population are associated with changes in thyroid hormone levels in U.S. women .",1
"Myocardial injury is common among patients undergoing major gastrointestinal surgery .",0
"Therefore , ITDI should not be considered as the main treatment for patients presenting with acute tinnitus as the primary symptom .",0
"It might be evaluate a favorable effect of IS in neurosurgery patients .",0
"Subgroup analysis suggested that epidural anaesthesia to T4 dermatome as well as general anaesthesia may not protect patients from this immunosuppression .",0
"Both dimensions of anxiety were previously found to be significantly associated with preterm birth and low birth weight .",1
"Future research should be carried out with a larger sample size to examine the long term effects of the sensorimotor training program on treatment of patients with chronic non-specific LBP .",0
"The safety profile of roflumilast was consistent with that of previous studies .",0
"AyuFlex ® improved mKOOS global scores , knee joint discomfort with activity and exercise , 6-min walk test distance covered and discomfort post-6 min walk test , overall whole-body joint function , knee soreness following leg extension resistance exercise in a healthy , overweight population , without AE .",1
"Negative psychological states affect physical health by activating the biological stress response , which can lead to increased inflammation , elevated heart rates , and blood pressure , among other outcomes .",1
"These results show that IL-17A induces caspase-3 activation and parietal cell atrophy in vivo .",1
"Short-term EXE therapy was linked to significant weight loss and central adiposity reduction , which may further explain the improvements in insulin resistance , inflammatory marker and menstrual cycle , which may contribute to increasing pregnancy rates in OW and OB women with PCOS .",1
"In an AAV-synuclein mouse model of PD , we have found that over-abundance of α-SYN triggers the expression of NF-κB p65 , and leads to microglial activation and DA neurodegeneration .",1
"qRT-PCR confirmed upregulation of NDRG1 in Colo320R and downregulation in HT-29R as a result of prolonged treatment with L-OHP .",1
"This result indicated that there is a possibility which the elderly could improve executive functions and processing speed in short term training .",0
"Figure 2 juxtaposes the trees produced by LICHeE with the trees presented by Gerlinger et al We can see that the trees generated by LICHeE are topologically identical to the published trees for patients EV005 , EV007 , RMH002 , RMH008 , and RK26 .",0
"We demonstrated that resveratrol , caffeic acid , and tannic acid in stored blood could decrease the sensitivity to oxidation of erythrocytes in vitro but did not exhibit such effects on CA activity .",1
"Moreover , mast cells are located around blood vessels and are highly represented within central and peripheral lymphoid organs .",0
"We also investigated the relationship between LS and age , body mass index , liver function , alcohol consumption , and fatty liver determined by ultrasonography .",0
"Thus , crinophagy does not seem to be required for glue granule exocytosis .",0
"Mental health professionals need to team up with experts in information technology to increase personalization of Web-based interventions to enhance adherence .",0
"This study provides evidence of the efficacy of therapist-aided exposure therapy for women with lifelong vaginismus .",1
"Besides phonosurgery , this specific Voice Therapy Expulsion technique should be considered as a valid , noninvasive , and well-tolerated therapeutic option for the treatment of selected patients with vocal fold polyps .",0
"A number of studies demonstrated the effectiveness of programs in improving FV access among children 5 to 18 years .",1
"Vaccination with HSP65 hIL-12 and HVJ resulted in better protective efficacy than that with BCG alone on the basis of the erythrocyte sedimentation rate test , chest X-ray findings , and immune responses .",1
"In contrast to that , no significant group differences were observed in self-rated empathy .",0
"Penicillin V had no effect on oxidative nucleic acid modifications .",1
"The PGI scales are robust and valid instruments to assess disease severity , bother and improvement after treatment in women with detrusor overactivity .",0
"Understanding co-morbidity of depression and tuberculosis has been limited by challenges in measurement of depression due to overlapping symptoms , use of small hospital samples and uncontrolled analysis .",0
"Those imply that mother may play more roles on suicidal ideation and plan than father among medical college students in China .",0
"There was essentially no difference among EQ-5D and PCS scores for patients with SLE , RA , or NIRD .",0
"Male Wistar rats received oil or nanocapsules containing this oil by gavage daily for 1 week .",0
"Additionally , previous studies from our laboratory suggested that the optimized formula of XFHM has inhibitory effects on apoptosis of lymphocytes in rats with adjuvant arthritis .",1
"Consumption of soy containing naturally occurring amounts of isoflavone phytoestrogens reduced lipid peroxidation in vivo and increased the resistance of LDL to oxidation .",1
"However , at a population level , WC and BMI are useful obesity measures , demonstrating fair-to-high discriminatory power .",0
"It can also avoid the myelosuppressive , hepatotoxic potential and other adverse reactions that occur due to chemical drugs including LEF .",1
"Our critically reflective account of the praxis of integration illuminated opportunities and challenges for maximising the value of qualitative research to a trial .",0
"Hepatitis C virus is a major global health problem , affecting more than 180 million people worldwide .",1
"A control Cys substitution distant from the flavin increases photoreduction only marginally .",1
"In this work quantitative MRI phenotypes , such as tumour size , shape , margin , and blood flow kinetics , were associated with their corresponding molecular profile , including DNA mutation , gene , miRNA , and protein expression , as well as copy number variation .",0
"Pten deletion promotes axon regeneration through both mammalian target of rapamycin -- dependent and -- independent mechanisms .",1
"Hence , it is now believed that CD154 , through its involvement in the production of chemokines , cytokines , MMPs , adhesion molecules , and growth factors , contributes to pannus formation and perpetuation of inflammation in RA .",1
"Treatment with cabozantinib increased overall survival , delayed disease progression , and improved the objective response compared with everolimus .",1
"Induced pluripotent stem cell - based cell therapies have great potential for regenerative medicine but are also potentially associated with tumorigenic risks .",1
"The TTS created responses based on current guidelines and using Motivational Interviewing techniques .",0
"In particular , can we learn enough about mechanism to treat specific pathologies without grossly affecting other brain functions .",0
"A rod-less technique for loop ileostomies reduces the risk of stomal necrosis , with a high BMI being an independent risk factor for stomal complications .",1
